questions,classes
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ? ~ You # inspired What cocktail # inspired John Doxat # write the book # write Stirred Shaken,ENTY
What ISPs exist in the Caribbean ? ~ You # exist What # exist ISPs,HUM
How do you ask a total stranger out on a date ? ~ How ask # ask you # ask a total stranger,DESC
What weapon is the mythological character Apollo most proficient with ? ~ You,ENTY
What country do the Galapagos Islands belong to ? ~ You # belong the Galapagos Islands,LOC
What is ethology ? ~ What is # is ethology,DESC
Who was the prophet of the Muslim people ? ~ Who was # was the prophet of,HUM
Where did the term `` 86ed '' come from ? ~ You # come the term 86ed,DESC
Who is Snoopy 's arch-enemy ? ~ Who is,HUM
What is the nature of learning ? ~ What is # is the nature of,DESC
What 's the only color Johnny Cash wears on stage ? ~ What 's # 's the color Cash wears on,ENTY
What 's the term for a young fox ? ~ What 's # 's the term for,ENTY
What U.S. state lived under six flags ? ~ You # lived What # lived U.S. state,LOC
What is the Kashmir issue ? ~ What is # is the Kashmir issue,DESC
Where is the Loop ? ~ Where is # is the Loop,LOC
What does `` extended definition '' mean and how would one write a paper on it ? ~ You # definition What # mean What does ` ` extended definition '' # write one # write a paper,DESC
What country 's capital is Tirana ? ~ You # is country capital,LOC
What is titanium ? ~ What is # is titanium,DESC
Who do Herb and Tootsie live next door to ? ~ Who do # live Herb and Tootsie,HUM
Which city has the oldest relationship as a sister city with Los Angeles ? ~ You # has Which city # has the oldest relationship as,LOC
What is a caldera ? ~ What is # is a caldera,DESC
Why do people get calluses ? ~ Why get # get people # get calluses,DESC
What are the names of the tourist attractions in Reims ? ~ What are # are the names of,LOC
What are Cushman and Wakefield known for ? ~ What are # known Cushman and Wakefield,DESC
What body of water does the Danube River flow into ? ~ You # flow What body of # flow the Danube River,LOC
Who is the founder of Scientology ? ~ Who is # is the founder of,HUM
What does the six-footed Musca domestica become when it enters a house ? ~ You # become What # become the footed Musca domestica # enters it # enters a house,ENTY
What is the history of skateboarding ? ~ What is # is the history of,DESC
Who starred in Singing in the Rain and The Singing Nun ? ~ Who starred,HUM
How do I make fuel bricks from recycled newspaper ? ~ How make # make I # make fuel bricks,DESC
What 19th-century painter died in the Marquesas Islands ? ~ You # died What century painter,HUM
The corpus callosum is in what part of the body ? ~ You # is The corpus callosum,ENTY
How do I log on to home page at Headquarters U.S. European Command ? ~ How log # log I,DESC
"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP . ~ You # occupy What country # occupy the Nazis",LOC
What is Nebraska 's most valuable resource ? ~ What is # is Nebraska valuable resource,ENTY
How many species of the Great White shark are there ? ~ How many # are many species of,NUM
What is the origin of head lice ? ~ What is # is the origin of,DESC
What is the nickname for the state of Mississippi ? ~ What is # is the nickname for,LOC
What was the first domesticated bird ? ~ What was # was the domesticated bird,ENTY
How many villi are found in the small intestine ? ~ How many,NUM
What country did King Wenceslas rule ? ~ You # did What country # rule King Wenceslas,LOC
What is a fear of shadows ? ~ What is # is a fear of,ENTY
Who were the five Marx brothers ? ~ Who were,HUM
In which year was New Zealand excluded from the ANZUS alliance ? ~ You # excluded New Zealand,NUM
When did CNN begin broadcasting ? ~ When begin # begin CNN,NUM
What causes the body to shiver in cold temperatures ? ~ You # causes What # shiver the body,DESC
What are bear and bull markets ? ~ What are # are bear markets,DESC
What J.R.R. Tolkien book features Bilbo Baggins as the central character ? ~ You # features What # features Tolkien book # features Bilbo Baggins,ENTY
What is `` dew point '' ? ~ You # is What # is ` ` dew point '',DESC
What is the meaning of Jesus ? ~ What is # is the meaning of,DESC
What company 's logo is a `` W '' in a circle ? ~ You # is company logo,HUM
What is the definition of a cascade ? ~ What is # is the definition of,DESC
When did Rococo painting and architecture flourish ? ~ When flourish # painting Rococo # flourish Rococo painting and architecture,NUM
What country 's national passenger rail system is called Via ? ~ You # called Via,LOC
Who invented Make-up ? ~ Who invented # invented Make - up,HUM
What is the origin of the word `` attic '' ? ~ What is # is the origin of,DESC
What did Delilah do to Samson 's hair ? ~ You # do What # do Delilah,DESC
What kind of animals were in the Paleozoic era ? ~ You,ENTY
Which of the following was Rhodes Scholar ? ~ You # was Which of,HUM
Who comprised the now-defunct comic book team known as the Champions ? ~ Who comprised # comprised the defunct book team known,HUM
How do you make a paintball ? ~ How make # make you # make a paintball,DESC
What U.S. state is Fort Knox in ? ~ What is # is U.S. state,LOC
What is a female rabbit called ? ~ What is # is a female rabbit called,ENTY
Where is the highest point in Japan ? ~ Where is # is the highest point in,LOC
Where do chihuahuas come from ? ~ Where come # come chihuahuas,DESC
Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ? ~ Where go # go Barney Rubble # drops he # drops Fred,LOC
What are the world 's four oceans ? ~ What are # are world four oceans,LOC
What 's the only work by Michelangelo that bears his signature ? ~ What 's # 's the only work by bears # bears that # bears his signature,ENTY
What is the largest snake in the world ? ~ What is # is the largest snake in,ENTY
In what medium is Stuart Hamblen considered to be the first singing cowboy ? ~ You # considered Stuart Hamblen,ENTY
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ? ~ Where find # find I # find a song lyrics database similar,LOC
How much money does a back injury lawsuit get ? ~ How much # does much money # get a injury lawsuit,NUM
What 's the common name for acetylsalicylic acid ? ~ What 's # 's the common name for,ENTY
What does the Georgetown `` Hoya '' mean ? ~ You # mean What # mean the Georgetown ` ` Hoya,DESC
Where can I find a list of `` classic '' books 5th and 6th graders should read ? ~ Where find # find I # find a list of # read 5th graders,LOC
Which two products use a tiger as their symbol ? ~ You # use Which two products # use a tiger as,ENTY
How is the election of a new Pope announced to the world ? ~ How is # announced the election of,DESC
How long does it take for your blood to make one complete trip through the body ? ~ How long # take it # make your blood # make one complete trip,NUM
How do chickens have baby chicks ? ~ How have # have chickens # have baby chicks,DESC
What is the historical relationship of Catholic Church and bingo ? ~ What is # is the historical relationship of,DESC
How was the element calcium named ? ~ How was # was the element calcium named,DESC
What crooner joined The Andrews Sisters for Pistol Packin Mama ? ~ You # joined What crooner # joined The Andrews Sisters for,HUM
What piano company claims its product is the `` Instrument of the immortals '' ? ~ You # claims What piano company # is its product,HUM
When did the Bounty mutiny take place ? ~ When take # take the Bounty mutiny # take place,NUM
What novel inspired the movie BladeRunner ? ~ You # inspired What novel # inspired the movie,ENTY
What is a transistor ? ~ What is # is a transistor,DESC
What is a film starring Jude Law ? ~ What is # is a film starring # starring Jude Law,ENTY
What Hollywood dog died in the arms of Jean Harlow in 1932 ? ~ You # died What # died Hollywood dog,ENTY
What are the most common elements in the Earth 's crust ? ~ What are # are the common elements in,ENTY
"How much would it cost to purchase a 2-foot-square party tent , with sides , ? ~ How much # cost How much # cost it # purchase a square party tent",NUM
What actress has received the most Oscar nominations ? ~ You # received What actress # received the most Oscar nominations,HUM
What are equity securities ? ~ What are # are equity securities,DESC
What is gymnophobia ? ~ What is # is gymnophobia,DESC
How many years do fossils take to form ? ~ How many # take fossils,NUM
Where is the Orinoco ? ~ Where is # is the Orinoco,LOC
What was the name of the `` Little Rascals '' dog ? ~ What was # was the name of,ENTY
"What city boasts Penn 's Landing , on the banks of the Delaware river ? ~ You # boasts What city # boasts Penn Landing",LOC
What Broadway musical was inspired by Cervantes 's Don Quixote ? ~ You # inspired What,ENTY
"What is the origin of the word , JJ . ~ What is # is the origin of",DESC
How many hostages were killed in the Entebbe raid ? ~ How many,NUM
How you can raise your IQ ? ~ How raise # raise you # raise your IQ,DESC
What does INRI stand for when used on Jesus ' cross ? ~ You # stand INRI,ABBR
Who produces Spumante ? ~ Who produces # produces Spumante,HUM
Who earns their money the hard way ? ~ Who earns # earns their money,HUM
Who founded the People 's Temple Commune ? ~ Who founded # founded People Temple Commune,HUM
What athlete makes the most money from sports merchandise sales ? ~ You # makes What athlete # makes the most money from,HUM
How many bends are there in a standard paper clip ? ~ How many,NUM
Who discovered electricity ? ~ Who discovered # discovered electricity,HUM
What part of your body contains the corpus callosum ? ~ You # contains What part of # contains the corpus callosum,ENTY
Who was the first American in space ? ~ Who was # was the first American in,HUM
What two South American countries do n't border Brazil ? ~ You # border What # border two American countries # border Brazil,LOC
What album put The Beatles on the cover of Time in 1967 ? ~ You # put What album # put The Beatles,ENTY
"What poem contains the line , `` grow old with me the best is yet to be '' . ~ You # contains What poem # contains the line # is the best",ENTY
What is a dental root canal ? ~ What is # is a dental root canal,DESC
What war did the Wanna-Go-Home Riots occur after ? ~ You # occur the Wanna - Go - Home Riots,ENTY
What is the busiest air travel season ? ~ What is # is the busiest travel season,NUM
What 's the colored part of the eye called ? ~ What 's # 's the colored part of called,ENTY
What are hook worms ? ~ What are # are hook worms,DESC
Where is the Rose Bowl played ? ~ Where is # played the Rose Bowl,LOC
Which Japanese car maker had its biggest percentage of sale in the domestic market ? ~ You # had Which Japanese car maker # had its biggest percentage of in,HUM
Who is the mayor of Marbella ? ~ Who is # is the mayor of,HUM
"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ? ~ You # blasted What # is wide valley",LOC
In what year did Thatcher become prime minister ? ~ You # become Thatcher,NUM
How many months does it take the moon to revolve around the Earth ? ~ How many # take it # take the moon,NUM
Where are the 49 steps ? ~ Where are # are the 49 steps,LOC
In what year was De Gaulle elected president of France ? ~ You # elected De Gaulle # elected president of,NUM
Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ? ~ Who sings # sings the themes for and Felicity,HUM
Who directed `` Jaws '' ? ~ Who directed # directed ` ` Jaws '',HUM
On what T.V. show could Tom Terrific be found ? ~ You # show what,ENTY
What Indian tribe is F Troop perpetually doing battle with ? ~ You # is What Indian tribe # doing F Troop # doing battle,HUM
Where did Indian Pudding come from ? ~ You # come Indian Pudding,DESC
Why do some clothing labels say `` Use a nonchlorine bleach '' ? ~ Why say # say some clothing labels # Use a nonchlorine bleach,DESC
How many colonies were involved in the American Revolution ? ~ How many,NUM
What is the name of the city that Maurizio Pellegrin lives in ? ~ What is # is the name of # lives Maurizio Pellegrin,LOC
Where can I find pictorial directions on how to build a very simple treehouse ? ~ Where find # find I # find pictorial directions on # build a simple treehouse,LOC
"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ? ~ You # shows game board # shows the territories of",ENTY
What is the name of the managing director of Apricot Computer ? ~ What is # is the name of,HUM
What is the occupation of Nicholas Cage ? ~ What is # is the occupation of,HUM
Why do horseshoes bring luck ? ~ Why bring # bring horseshoes # bring luck,DESC
"What is the 401 , K , plan ? ~ What is # is the 401 , K # is , plan",DESC
What causes pneumonia ? ~ You # causes What # causes pneumonia,DESC
What are the three winter months in the southern hemisphere ? ~ What are # are the three winter months in,NUM
What does gringo mean ? ~ You # mean What # mean gringo,DESC
What country contains Africa 's northernmost point ? ~ You # contains What country # contains Africa northernmost point,LOC
What therapy attempts to elicit the `` primal scream '' ? ~ You # attempts What therapy # elicit the ` ` primal scream,ENTY
Where is the Kalahari desert ? ~ Where is # is the Kalahari desert,LOC
Which Ventura County police department seized the largest cocaine shipment in it 's history ? ~ You # seized County police department # seized the largest cocaine shipment in # 's it,HUM
What city is sometimes called Gotham ? ~ You # called Gotham,LOC
What dangles over the tongue from the palate ? ~ You,ENTY
Who created Dennis the Menace ? ~ Who created # created Dennis Menace,HUM
What dummy received an honorary degree from Northwestern University ? ~ You # received What dummy # received an honorary degree,HUM
When was the first Wall Street Journal published ? ~ When was # published the first Street Journal,NUM
What countries have the largest areas of forest ? ~ You # have What countries # have the largest areas of,LOC
How do I start a web based business ? ~ How start # start I # start a based business,DESC
Name Alvin 's brothers ~ You,HUM
What is Eagle 's syndrome styloid process ? ~ What is # is Eagle syndrome styloid process,DESC
How did Jayne Mansfield die ? ~ How die # die Jayne Mansfield,DESC
When did the royal wedding of Prince Andrew and Fergie take place ? ~ When take # take the royal wedding of # take place,NUM
What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ? ~ You # said What actor # 's he # stopped my watch,HUM
What explorer was nicknamed Iberia 's Pilot ? ~ You # nicknamed Iberia Pilot,HUM
CNN began broadcasting in what year ? ~ You # began CNN,NUM
What is a ball that hits the foul pole called ? ~ What is # is a ball hits # hits that # hits the foul pole called,ENTY
What makes hamburgers taste like steakburgers ? ~ You # makes What # taste hamburgers,DESC
Which company created the Internet browser Mosaic ? ~ You # created Which company # created the Internet browser,HUM
What are the rites accompanying the circumcision of a newly born-child in Judaism called ? ~ What are # are the rites accompanying # accompanying the circumcision of called,ENTY
What was the education system in the 1960 's ? ~ What was # was the education system in,ENTY
What South American city has the world 's highest commercial landing field ? ~ You # has What # has American city # has world highest commercial landing field,LOC
How can I find out which cities have cable-modem access ? ~ How find # find I # have which cities # have modem access,DESC
What is Betsy Ross famous for ? ~ What is # is Betsy Ross famous,DESC
How many species of sharks are there ? ~ How many # are many species of,NUM
What is `` snoogans '' ? ~ You # is What # is ` ` snoogans '',DESC
How many people are there in the world ? ~ How many # are many people,NUM
What shrubs can be planted that will be safe from deer ? ~ You # be that,ENTY
What organization 's offices were broken into at Watergate in 1972 ? ~ You,HUM
What is the design of the ship Titanic ? ~ What is # is the design of,DESC
What does S.O.S. stand for ? ~ You # stand S.O.S.,ABBR
Name a technique widely used to detect birth defects ? ~ You # Name a technique used # detect birth defects,ENTY
What is the daily requirement of folic acid for an expectant mother ? ~ What is # is the daily requirement of for,DESC
What is the `` 7-minute cigarette '' ? ~ What is # is the ` ` minute cigarette,DESC
What four forms does gold occur in ? ~ You # does What # does four forms # occur gold,ENTY
What is the acreage of the Chappellet vineyard ? ~ What is # is the acreage of,NUM
How do you correctly say the word ` qigong ' ? ~ How say # say you # say the word ` qigong,DESC
When did beethoven die ? ~ When beethoven,NUM
How much does a new railroad coal car cost ? ~ How much # cost How much # cost a new coal car,NUM
What two European countries entered the War of American Independence against the British ? ~ You # entered What # entered two European countries # entered the War of,LOC
What is the filmmakers collabrative ? ~ What is # collabrative the filmmakers,DESC
What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ? ~ You # brought What composer Prelude in Minor # brought him # brought fame and fortune,HUM
What caused Harry Houdini 's death ? ~ You # caused What # caused Houdini death,DESC
"Who was the mother of the man who would not be king , the duke of Windsor ? ~ Who was # was the mother of , duke # be who",HUM
How many revolutions does a standard LP make in three minutes ? ~ How many # make many revolutions,NUM
What is the name of the tallest mountain in the world ? ~ What is # is the name of,LOC
Where can I find a review of Nightmare on Elm Street in a film journal ? ~ Where find # find I # find a review of on,LOC
What 's the slowest Olympic swimming stroke ? ~ What 's # 's the slowest swimming stroke,ENTY
What was the name of the first Russian astronaut to do a spacewalk ? ~ What was # was the name of do # do a spacewalk,HUM
What disease is transmitted by the Anopheles mosquito ? ~ You,ENTY
What rum is so `` mixable '' it is a one-brand bar ? ~ You # is What rum # is it,ENTY
How many South American countries have the letter Z in their names ? ~ How many # have many American countries # have the letter Z,NUM
What is the contents of proposition 98 ? ~ What is # is the contents of,DESC
Where was George Washington born ? ~ Where born # born George Washington,LOC
"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD . ~ How many",NUM
Who wrote NN DT NNP NNP '' ? ~ Who wrote # wrote NN DT NNP NNP,HUM
What is paracetamol ? ~ What is # is paracetamol,DESC
What are the powers and weaknesses of Green Lantern 's ring ? ~ What are # are the powers and weaknesses of,DESC
"Which mosquito 's bite draws blood , DT NN CC DT NN . ~ You # draws mosquito bite # draws blood",ENTY
When was the first steel mill in the United States built ? ~ When was # built the first steel mill in,NUM
What diminutive American female gymnast stole the show at the 1984 Olympics ? ~ You # stole What diminutive American female gymnast # stole the show,HUM
What is the origin of the name Katie ? ~ What is # is the origin of Katie,DESC
"What schools in the Washington , DC NN NN VBP NN NN NN NN . ~ You",HUM
When did the Berlin Wall go up ? ~ When go # go the Berlin Wall,NUM
Who is Terrence Malick ? ~ Who is # is Terrence Malick,HUM
What instrument is Ray Charles best known for playing ? ~ You,ENTY
"What 's the meaning of the Latin battle cry : Ad arma , ad arma . ~ What 's # 's the meaning of # 's Ad arma , arma",DESC
What is the mascot for Notre Dame University ? ~ What is # is the mascot for,ENTY
"What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ? ~ You # burned What # burned Vegas hotel",LOC
When did Mount St. Helen last have a significant eruption ? ~ When have # have Mount St. Helen # have a significant eruption,NUM
CNN is the abbreviation for what ? ~ You # is CNN,ABBR
When did World War I start ? ~ When start # did World War # start I,NUM
How many feet are there in a fathom ? ~ How many # are many feet,NUM
What is a Canada two-penny black ? ~ What is # is a Canada penny black,DESC
What European city do Nicois live in ? ~ You # live Nicois,LOC
How can I find out what year a Beanie Baby was introduced ? ~ How find # find I,DESC
What is the classic definition of tragic hero ? ~ What is # is the classic definition of,DESC
To what does Microsoft 's Windows 3 owe its success ? ~ You # owe what # owe Microsoft Windows 3 # owe its success,ENTY
Who was President of Afghanistan in 1994 ? ~ Who was,HUM
"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ? ~ What are # are other ways of # getting stretch marks",ENTY
What did brontosauruses eat ? ~ You # eat What # eat brontosauruses,ENTY
What color bottles do good Rhine wines come in ? ~ You # do What color bottles # do good Rhine wines,ENTY
Who was the lead actress in the movie ` Sleepless in Seattle ' ? ~ Who was # was the lead actress in ` Sleepless,HUM
Who was the 16th President of the United States ? ~ Who was,HUM
Who are the two sons of Ozzie and Harriet Nelson ? ~ Who are # are the two sons of,HUM
What is molybdenum ? ~ What is # is molybdenum,DESC
When is Boxing Day ? ~ When Boxing # Boxing Day,NUM
What is the lowest level of the American judiciary ? ~ What is # is the lowest level of,ENTY
When was the battle of the Somme fought ? ~ When was # fought the battle of,NUM
How many people did Randy Craft kill ? ~ How many # did many people # kill Randy Craft,NUM
What 's the official animal of Canada ? ~ What 's # 's the official animal of,ENTY
When did Spielberg direct `` Jaws '' ? ~ When direct # direct Spielberg,NUM
What is the size of the largest akita ? ~ What is # is the size of,NUM
What animal has the biggest eyes ? ~ You # has What animal # has the biggest eyes,ENTY
What is California 's capital ? ~ What is # is California capital,LOC
Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ? ~ Who was # was the author of # called Cuckoo Egg : Tracking '' # Tracking a Spy,HUM
Who was the founding member of the Pink Floyd band ? ~ Who was # was the founding member of,HUM
What European country is home to the beer-producing city of Budweis ? ~ You # is What European country,LOC
How do I find the balance of my social security account ? ~ How find # find I # find the balance of,DESC
What is the history of Valentine 's Day cards ? ~ What is # is the history of,DESC
Where was Christopher Columbus born ? ~ Where born # born Christopher Columbus,LOC
What do Italians call Florence ? ~ You # call What # call Italians # call Florence,ENTY
How do you get to the top of the Eiffel Tower ? ~ How get # get you,DESC
What does ` PSI ' stand for ? ~ You # PSI What,ABBR
What sea did the Romans call mare nostrum ? ~ You # call What sea # call the Romans # call mare # call nostrum,LOC
What 's the term for a bet before cards are dealt ? ~ What 's # 's the term for,ENTY
"Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ? ~ You # came Which",ENTY
What city did the Flintstones live in ? ~ You # live the Flintstones,LOC
What is Latin for incompetent ? ~ What is # is Latin,ENTY
What chemicals are used in lethal injection ? ~ You,ENTY
What toy company is the world 's No.1 maker of female apparel ? ~ You # is What toy company,HUM
What board game does a `` wood-pusher '' play poorly ? ~ You # does What board game # play a ` ` wood - pusher # does pusher '' play poorly ?,ENTY
Which Doonesbury character was likely to turn into a werewolf ? ~ You # was Which Doonesbury character,HUM
What is the abbreviation for micro ? ~ What is # is the abbreviation for,ABBR
What are the 7 articles of the constitution ? ~ What are # are the 7 articles of,ENTY
Who has won the most Super Bowls ? ~ Who won # won the most Super Bowls,HUM
What does NASDAQ stand for ? ~ You # stand NASDAQ,ABBR
What is BPH ? ~ What is # is BPH,ABBR
What is the fastest commercial automobile that can be bought in the US ? ~ What is # is the fastest commercial automobile bought,ENTY
What stadium do the Miami Dolphins play their home games in ? ~ You # play What stadium # play the Miami Dolphins # play their home games,LOC
Who has the only speaking role in `` Silent Movie '' ? ~ Who has # has the only speaking role in '',HUM
Why is poop sometimes different colors ? ~ Why is # is poop # is different colors,DESC
What was Einstein 's IQ ? ~ What was # was Einstein IQ,NUM
What day was Pearl Harbor attacked in 1942 ? ~ You # attacked Pearl Harbor,NUM
What girl 's name is `` Teddy '' an affectionate form of ? ~ You # is girl name,HUM
What state is John F. Kennedy buried in ? ~ You # buried John F. Kennedy,LOC
What is the best way to remove wallpaper ? ~ What is # is the best way remove # remove wallpaper,ENTY
What U.S. state has an element named for it ? ~ You # has What # has U.S. state # has an element named,LOC
What company tabulates the ballots in voting for the Academy Awards ? ~ You # tabulates What company # tabulates the ballots,HUM
How did the tradition of best man start ? ~ How start # start the tradition of,DESC
How many years ago did the ship Titanic sink ? ~ How many # sink the ship,NUM
What is the deepest area of the Arctic Ocean ? ~ What is # is the deepest area of,LOC
What are Halloween 's colors ? ~ What are # are Halloween colors,ENTY
How is silk screening done ? ~ How done,DESC
"What is the latitude and longitude of El Paso , Texas ? ~ What is # is the latitude and longitude of",NUM
Who made a boat out of gopher wood ? ~ Who made # made a boat,HUM
Where can I find a `` Fifth Element '' screensaver ? ~ Where find # find I # find Element screensaver,LOC
Which Bloom County resident wreaks havoc with a computer ? ~ You # wreaks Which County resident # wreaks havoc,HUM
How do you match a name to a social security number ? ~ How match # match you # match a name,DESC
How does a rainbow form ? ~ How form # form a rainbow,DESC
What is the normal resting heart rate of a healthy adult ? ~ What is # is the normal resting heart rate of,NUM
What is the population of Ohio ? ~ What is # is the population of,NUM
How many calories are there in a Big Mac ? ~ How many # are many calories,NUM
Hazmat stands for what ? ~ You # stands Hazmat,DESC
What creature scares people in the film `` Jaws '' ? ~ You # scares What creature # scares people in Jaws,ENTY
What part did John Peter Zenger play in the deveopment of the newspaper in America ? ~ You # play What part # play John Peter Zenger,HUM
Who followed Caesar ? ~ Who followed # followed Caesar,HUM
What are the four elements ? ~ What are # are the four elements,ENTY
Who was the first woman golfer to earn a million ? ~ Who was # earn a million,HUM
What 's the tallest piece on a chessboard ? ~ What 's # 's the tallest piece on,ENTY
What is Answers.com 's address ? ~ What is # is Answers.com address,LOC
Where can I buy movies on videotape online ? ~ Where buy # buy I # buy movies,LOC
Who does the advertizing for Frito-Lay ? ~ Who does # does the advertizing for,HUM
Who is the leading competitor of Trans Union Company ? ~ Who is # is the leading competitor of,HUM
What product did Robert Conrad dare people to knock off his shoulder ? ~ You # dare What product # dare Robert Conrad # dare people # knock his shoulder,ENTY
Who invented the radio ? ~ Who invented # invented the radio,HUM
What 's the American dollar equivalent for 8 pounds in the U.K. ? ~ What 's # equivalent the American dollar,NUM
What are the different approaches of systems analysis ? ~ What are # are the different approaches of,ENTY
How do doctors diagnose bone cancer ? ~ How diagnose # diagnose doctors # diagnose bone cancer,DESC
Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ? ~ Who is # is the man behind # pulls who # pulls the strings,HUM
What is the speed of the Mississippi River ? ~ What is # is the speed of,NUM
What are the developmental stages of a swimmer ? ~ What are # are the developmental stages of,ENTY
What actor first portrayed James Bond ? ~ You # portrayed What actor # portrayed James Bond,HUM
What ocean is the largest in the world ? ~ You,LOC
"Who was the first American poet to win the Nobel Prize for literature , in 1948 ? ~ Who was # win the Nobel Prize for",HUM
What year did Jack Nicklaus join the Professional Golfers Association tour ? ~ You # join Jack Nicklaus # join the Association tour,NUM
How many sonnets did Shakespeare write ? ~ How many # did many sonnets # write Shakespeare,NUM
What causes the redness in your cheeks when you blush ? ~ You # causes What # causes the redness # blush you,DESC
Who won the Nobel Peace Prize in 1991 ? ~ Who won # won the Nobel Peace Prize,HUM
Who are the Challengers of the Unknown ? ~ Who are,HUM
Define the Pheonix Club ? ~ You # Define the Pheonix Club,DESC
Which city did Christian Crusaders fight to recapture from the Muslims ? ~ You # did Which city # fight Christian Crusaders,LOC
What does it mean `` Rupee Depreciates '' ? ~ You # mean What # mean it # mean Rupee Depreciates,DESC
What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ? ~ You # dubbed ` ` Mississippi marbles '',ENTY
Who was the first coach of the Cleveland Browns ? ~ Who was # was the first coach of,HUM
How successful is arometherapy ? ~ How successful,DESC
What Jewish holiday saw the start of the 1973 Mideast War ? ~ You # saw What Jewish holiday # saw the start of,ENTY
How does a copier work ? ~ How work,DESC
