questions,classes
Which company created the Internet browser PERSON ?,HUM
What are the rites accompanying the circumcision of a newly born-child in ORG called ?,ENTY
What was the education system in the DATE 's ?,ENTY
What NORP city has the world 's highest commercial landing field ?,LOC
How can I find out which cities have cable-modem access ?,DESC
What is PERSON famous for ?,DESC
How many species of sharks are there ?,NUM
What is `` snoogans '' ?,DESC
How many people are there in the world ?,NUM
What shrubs can be planted that will be safe from deer ?,ENTY
What organization 's offices were broken into at EVENT in DATE ?,HUM
What is the design of the ship ORG ?,DESC
What does GPE stand for ?,ABBR
Name a technique widely used to detect birth defects ?,ENTY
What is the DATE requirement of folic acid for an expectant mother ?,DESC
What is the `` TIME cigarette '' ?,DESC
What CARDINAL forms does gold occur in ?,ENTY
What is the acreage of the ORG vineyard ?,NUM
How do you correctly say the word ` qigong ' ?,DESC
When did beethoven die ?,NUM
How much does a new railroad coal car cost ?,NUM
What CARDINAL NORP countries entered EVENT against the British ?,LOC
What is the filmmakers collabrative ?,DESC
What NORP composer 's PRODUCT in C Sharp Minor brought him fame and fortune ?,HUM
What caused PERSON death ?,DESC
"Who was the mother of the man who would not be king , the duke of GPE ?",HUM
How many revolutions does a standard LP make in TIME ?,NUM
What is the name of the tallest mountain in the world ?,LOC
Where can I find a review of ORG on FAC in a film journal ?,LOC
What 's the slowest EVENT swimming stroke ?,ENTY
What was the name of the ORDINAL NORP astronaut to do a spacewalk ?,HUM
What disease is transmitted by the Anopheles mosquito ?,ENTY
What rum is so `` mixable '' it is a CARDINAL-brand bar ?,ENTY
How many NORP countries have the letter Z in their names ?,NUM
What is the contents of proposition CARDINAL ?,DESC
Where was PERSON born ?,LOC
"How many people on the ground were killed from the bombing of PRODUCT over GPE , Scotland , DATE , CD .",NUM
Who wrote ORG ?,HUM
What is paracetamol ?,DESC
What are the powers and weaknesses of ORG ring ?,DESC
"Which DATE 's bite draws blood , ORG CC ORG .",ENTY
When was the ORDINAL steel mill in GPE built ?,NUM
What diminutive NORP female gymnast stole the show at the DATE EVENT ?,HUM
What is the origin of the name PERSON ?,DESC
"What schools in the GPE , ORG VBP NN NN NN NN .",HUM
When did FAC go up ?,NUM
Who is PERSON ?,HUM
What instrument is PERSON best known for playing ?,ENTY
"What 's the meaning of the NORP battle cry : Ad arma , ad arma .",DESC
What is the mascot for ORG ?,ENTY
"What GPE hotel burned in DATE , with the loss of CARDINAL lives ?",LOC
When did GPE last have a significant eruption ?,NUM
ORG is the abbreviation for what ?,ABBR
When did EVENT start ?,NUM
How many feet are there in a fathom ?,NUM
What is a GPE two-penny black ?,DESC
What NORP city do GPE live in ?,LOC
How can I find out what year a PERSON was introduced ?,DESC
What is the classic definition of tragic hero ?,DESC
To what does ORG 's PRODUCT owe its success ?,ENTY
Who was President of GPE in DATE ?,HUM
"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?",ENTY
What did brontosauruses eat ?,ENTY
What color bottles do good Rhine wines come in ?,ENTY
Who was the lead actress in the movie ` Sleepless in GPE ' ?,HUM
Who was the ORDINAL President of GPE ?,HUM
Who are the CARDINAL sons of WORK_OF_ART ?,HUM
What is molybdenum ?,DESC
When is EVENT ?,NUM
What is the lowest level of the NORP judiciary ?,ENTY
When was the battle of the LOC fought ?,NUM
How many people did PERSON kill ?,NUM
What 's the official animal of GPE ?,ENTY
When did PERSON direct `` Jaws '' ?,NUM
What is the size of the largest akita ?,NUM
What animal has the biggest eyes ?,ENTY
What is GPE 's capital ?,LOC
Who was the author of the book about computer hackers called WORK_OF_ART ?,HUM
Who was the founding member of the Pink Floyd band ?,HUM
What NORP country is home to the beer-producing city of PERSON ?,LOC
How do I find the balance of my social security account ?,DESC
What is the history of DATE cards ?,DESC
Where was PERSON born ?,LOC
What do NORP call Florence ?,ENTY
How do you get to the top of FAC ?,DESC
What does ` PSI ' stand for ?,ABBR
What sea did the NORP call mare nostrum ?,LOC
What 's the term for a bet before cards are dealt ?,ENTY
"Which came ORDINAL , according to ORG 1 : CARDINAL : CARDINALCARDINAL - the chicken or the egg ?",ENTY
What city did the Flintstones live in ?,LOC
What is NORP for incompetent ?,ENTY
What chemicals are used in lethal injection ?,ENTY
What toy company is the world 's CARDINAL maker of female apparel ?,HUM
What board game does a `` wood-pusher '' play poorly ?,ENTY
Which Doonesbury character was likely to turn into a werewolf ?,HUM
What is the abbreviation for micro ?,ABBR
What are the CARDINAL articles of the constitution ?,ENTY
Who has won the most PERSON ?,HUM
What does ORG stand for ?,ABBR
What is PERSON ?,ABBR
What is the fastest commercial automobile that can be bought in the GPE ?,ENTY
What stadium do the Miami Dolphins play their home games in ?,LOC
Who has the only speaking role in `` Silent Movie '' ?,HUM
Why is poop sometimes different colors ?,DESC
What was Einstein 's IQ ?,NUM
What day was PERSON attacked in DATE ?,NUM
What girl 's name is `` WORK_OF_ART '' an affectionate form of ?,HUM
What state is PERSON buried in ?,LOC
What is the best way to remove wallpaper ?,ENTY
What GPE state has an element named for it ?,LOC
What company tabulates the ballots in voting for ORG ?,HUM
How did the tradition of best man start ?,DESC
How many years ago did the ship ORG sink ?,NUM
What is the deepest area of LOC ?,LOC
What are DATE 's colors ?,ENTY
How is silk screening done ?,DESC
"What is the latitude and longitude of GPE , Texas ?",NUM
Who made a boat out of gopher wood ?,HUM
Where can I find a `` ORDINAL Element '' screensaver ?,LOC
Which GPE resident wreaks havoc with a computer ?,HUM
How do you match a name to a social security number ?,DESC
How does a rainbow form ?,DESC
What is the normal resting heart rate of a healthy adult ?,NUM
What is the population of GPE ?,NUM
How many calories are there in a Big Mac ?,NUM
ORG stands for what ?,DESC
What creature scares people in the film `` Jaws '' ?,ENTY
What part did PERSON play in the deveopment of the newspaper in GPE ?,HUM
Who followed ORG ?,HUM
What are the CARDINAL elements ?,ENTY
Who was the ORDINAL woman golfer to earn CARDINAL ?,HUM
What 's the tallest piece on a chessboard ?,ENTY
What is ORG 's address ?,LOC
Where can I buy movies on videotape online ?,LOC
Who does the advertizing for ORG ?,HUM
Who is the leading competitor of ORG ?,HUM
What product did PERSON dare people to knock off his shoulder ?,ENTY
Who invented the radio ?,HUM
What 's the NORP dollar equivalent for QUANTITY in the GPE ?,NUM
What are the different approaches of systems analysis ?,ENTY
How do doctors diagnose bone cancer ?,DESC
Who is the man behind the pig-the man who pulls the strings and speaks for Miss PERSON ?,HUM
What is the speed of LOC ?,NUM
What are the developmental stages of a swimmer ?,ENTY
What actor first portrayed PERSON ?,HUM
What ocean is the largest in the world ?,LOC
"Who was the ORDINAL NORP poet to win WORK_OF_ART for literature , in DATE ?",HUM
What year did PERSON join ORG tour ?,NUM
How many sonnets did PERSON write ?,NUM
What causes the redness in your cheeks when you blush ?,DESC
Who won WORK_OF_ART in DATE ?,HUM
Who are the Challengers of the Unknown ?,HUM
Define ORG ?,DESC
Which city did ORG fight to recapture from the NORP ?,LOC
What does it mean `` WORK_OF_ART ?,DESC
What gaming devices were dubbed `` LOC marbles '' and `` Memphis dominoes '' ?,ENTY
Who was the ORDINAL coach of ORG ?,HUM
How successful is arometherapy ?,DESC
What NORP holiday saw DATE 1973 EVENT ?,ENTY
How does a copier work ?,DESC
What is the speed of LOC ?,NUM
Who said of EVENT in DATE : `` We 'll win- I guarantee it '' ?,HUM
What is PERSON Do-Right 's horse 's name ?,ENTY
Who declared : `` I am down on whores and I shan 't stop ripping them '' ?,HUM
Where does chocolate come from ?,LOC
What TV game show once saw a contestant admit to picking his toes in the shower ?,ENTY
What NORP leader owned ORG ?,HUM
Where can I find a case on Individuals with Disabilities Education Act of DATE ?,LOC
What war did PERSON tend the troops in ?,ENTY
"Who wrote the song , `` PRODUCT '' ?",HUM
How many PERSON ' records went #MONEY ?,NUM
Who is the only prime minister of GPE to serve DATE but not necessarily consecutively ?,HUM
What is the abbreviation of the company name ORG ?,ABBR
What mountains lie between the GPE and Missouri rivers ?,LOC
Who received WORK_OF_ART in DATE ?,HUM
What is the function of ORG ?,DESC
What 's the closest PRODUCT PERSON to LOC ?,LOC
How many equal angles are there in an isosceles triangle ?,NUM
What is the fear of cockroaches called ?,ENTY
What ORG soap opera was interrupted by the bulletin of PERSON assassination ?,ENTY
What is the use of a TIME clock instead of a 12-hour clock ?,DESC
What was the name of the lawyer who represented PERSON ?,HUM
What GPE President had dreamed that he was assassinated ?,HUM
What film did PERSON win the DATE best actor Oscar for ?,ENTY
Where is NORP country located ?,LOC
What product does `` Mrs. PERSON '' promote ?,ENTY
What time of day did Emperor PERSON die ?,NUM
What is dry ice ?,DESC
What 's the most powerful card in PERSON ?,ENTY
What does `` intractable plantar PERSON '' mean ?,DESC
How many years did it take PERSON to write ORG ?,NUM
What crop failure caused the Irish Famine ?,ENTY
What NORP city is served by ORG ?,LOC
How many types of dogs ' tails are there - CARDINAL,NUM
What is the longest-running television series ?,ENTY
What predators exist on LOC ?,ENTY
What is the difference between a generator and an alternator ?,DESC
How is energy created ?,DESC
What beer advertised that it had `` CARDINAL rings '' ?,ENTY
What is the quantity of NORP soldiers still unaccounted for from EVENT ?,NUM
What golfing accessory was patented by PERSON on DATE,ENTY
What are the different types of plastic ?,ENTY
How is it correct to say ` qigong ' ?,DESC
What was the highest mountain on earth before LOC was discovered ?,LOC
"Where was GPE , DATE , ?",LOC
What country 's people are the top television watchers ?,LOC
When was the women 's suffrage amendment ratified ?,NUM
What NORP people inhabit GPE ?,HUM
What movie tour of the NORP empire features the admonition : `` Row well and live '' ?,ENTY
What GPE center has been dubbed The Biggest Little City in the World ?,LOC
"What President lived at CARDINAL GPE , Independence , Missouri ?",HUM
Give a reason for NORP oftentimes dropping out of school .,DESC
Where must a soccer goalie stand to be permitted to handle the ball ?,LOC
What is the difference between classical conditioning and operant conditioning ?,DESC
In what GPE state was the ORDINAL woman governor elected ?,LOC
What are some interesting facts and information about dogsledding ?,DESC
What year did PERSON die ?,NUM
What famous model was married to PERSON ?,HUM
What kind of animal is PERSON ?,ENTY
What is PERSON known for ?,DESC
What killed PERSON ?,ENTY
How much money are ORG 's ears insured for ?,NUM
Who danced into stardom with PERSON in DATE 's You 'll Never Get Rich ?,HUM
Who is PERSON ?,HUM
What does the name PERSON mean ?,DESC
Who is the fastest swimmer in the world ?,HUM
What is the highest peak in LOC ?,LOC
Where is ORG headquartered in the GPE ?,LOC
What desert has been called FAC ?,LOC
What do bicornate animals have CARDINAL of ?,ENTY
What function does a community 's water tower serve ?,DESC
What is a fear of weakness ?,ENTY
How many miles is it to GPE from North Carolina ?,NUM
How much snow equals QUANTITY of rain ?,NUM
What does ORG stand for ?,ABBR
What does NORP and PERSON mean ?,DESC
What song served as the closing theme of The Johnny Cash Show ?,ENTY
What field sport did dentist PERSON promote and write a standard book of rules for ?,ENTY
How do I tie dye clothes ?,DESC
When does the average teenager ORDINAL have intercourse ?,NUM
Why doesn 't www.answers.com have any answers to my questions ?,DESC
What actor 's autobiography is titled WORK_OF_ART ?,HUM
What NORP master spy lived in the GPE under the name PERSON ?,HUM
Where 's the ORDINAL hole on a golf course ?,LOC
What 's nature 's purpose for tornadoes ?,DESC
Who played the original PERSON 's ORG ?,HUM
Where can I find a person 's address from a telephone number ?,LOC
"What LANGUAGE word comes from the Old NORP covrefeu , meaning cover fire ?",ENTY
What musical instrument did PERSON play in James Jones 's From Here to Eternity ?,ENTY
Where did ORG get his metal hand ?,LOC
What makes popcorn pop ?,DESC
Who wrote WORK_OF_ART of the ORG ?,HUM
Where does your hair grow the fastest ?,ENTY
What country did PERSON reign over from CARDINAL to 195 ?,LOC
Who painted Mother and Child ?,HUM
What is the speed of LOC ?,NUM
In what area of the world was EVENT fought ?,LOC
What is the brightest star visible from LOC ?,LOC
What film marked PERSON directorial debut ?,ENTY
What was PERSON 's ORDINAL name ?,HUM
What film or films has PERSON appeared in ?,ENTY
Where do hyenas live ?,LOC
Who is the `` WORK_OF_ART ?,HUM
What 's the most commonly-spoken language in GPE ?,ENTY
Who has more DNA - a man or a woman ?,HUM
What are ORG ?,DESC
"What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?",ENTY
What level of government or governmental agency is responsible for dealing with racism ?,HUM
How many referees work a soccer game ?,NUM
What cocktail do you concoct with whisky and sweet vermouth ?,ENTY
How do you say `` fresh '' in LANGUAGE ?,ENTY
What do bee hives do in cranberry bogs ?,DESC
What caused the ORG floods ?,DESC
When is EVENT in GPE ?,NUM
"Who came up with the name , ORG ?",HUM
What movie did PERSON star in with Gene Wilder ?,ENTY
What type of bridge is FAC ?,ENTY
What dictator has the nickname `` El Maximo '' ?,HUM
What stereo manufacturer is `` FAC ahead of its time '' ?,HUM
What GPE city is WORK_OF_ART ?,LOC
What TV sitcom character had the maiden name PERSON ?,HUM
What was the ORDINAL FAC flavor ?,ENTY
Who kept the most famous diary in the LANGUAGE language ?,HUM
Where can I find out the top CARDINAL singles ?,LOC
How many degrees cooler is the inside of a cucumber than the air outside ?,NUM
What NORP artist painted Crucifixion ?,HUM
What is the NORP bible called ?,ENTY
Why is the grass green ?,DESC
What is a firewall ?,DESC
What spy novelist served as GPE correspondent for PERSON and ORG ?,HUM
Which oil company almost picked a word that meant `` stalled car '' in NORP as its new international name ?,HUM
How long does it take for ORG web to evaporate ?,NUM
Who was PERSON lawyer ?,HUM
What was known as LOC ?,LOC
Who was the ORDINAL host of ORG ?,HUM
Name the PERSON who was always after Yogi Bear .,HUM
"What deck of cards includes ORG , the Lovers , and PERSON ?",ENTY
What does FAC wear on her feet ?,ENTY
Who is the superstar in rent-a-cars ?,HUM
FAC is located in what city ?,LOC
"What household facility contains a float ball , ballcock , and overflow tube ?",ENTY
What was the name of PERSON dog ?,ENTY
What fraction of a beaver 's life is spent swimming ?,NUM
What was the Bridge of San PERSON made of ?,ENTY
What do economists do ?,DESC
What country has the largest sheep population ?,LOC
"What do I need to do to take my dog with me to live in GPE , West Indies for DATE ?",DESC
What country is the world 's largest importer of cognac ?,LOC
How many years is PRODUCT aged ?,NUM
What does SIDS stand for ?,ABBR
What is GPE 's main commodity export ?,ENTY
"How much would a black-and-white MONEY stamp be worth , PERSON on it , ?",NUM
What makes a clitoris sensitive ?,DESC
"What country has the most time zones , with CARDINAL ?",LOC
What `` magic '' does PERSON employ ?,ENTY
Who is the president of ORG ?,HUM
Whose ORDINAL presidential order was : `` Let 's get this goddamn thing airborne '' ?,HUM
"What was introduced commercially by ORG , in DATE ?",ENTY
What city is FAC in ?,LOC
What is a nanometer ?,DESC
How many innings are there in a regulation softball game ?,NUM
When did ORG go on the air ?,NUM
What is the largest city on FAC ?,LOC
What is the telephone number for ORG ?,NUM
Who invented baseball ?,HUM
How many wives did PERSON have ?,NUM
What product on the market is good for hiding facial scars ?,ENTY
How long is the LOC boardwalk ?,NUM
What city gained renown for its pea-soup fogs ?,LOC
What does `` PRODUCT '' mean ?,DESC
How do I get another city 's newspaper ?,DESC
Name a movie about the NORP starring PERSON .,ENTY
"Who was shot in the back during a ORG game in GPE , the LOC territory ?",HUM
What are the distinct physical characterstics of the NORP horse ?,DESC
What is a fear of thunder ?,ENTY
What animal has killed the most people ?,ENTY
How many colleges are in GPE ?,NUM
What NORP seaport has a name meaning `` Lord of the LOC '' ?,LOC
Where can stocks be traded on-line ?,LOC
When was the Battle of Hastings ?,NUM
What kind of file has the extension .dbf ?,ENTY
When did PERSON live ?,NUM
"What then-derogatory term was applied to the painters PERSON , Sisley , Pissarro , ORG and Degas ?",ENTY
What is a wop ?,DESC
Where do rocks come from ?,DESC
How do I stop background noise in a car stereo ?,DESC
Where do people mountain climb in GPE ?,LOC
What is the best college in the country ?,HUM
What is viscosity ?,DESC
What was the name of the sitcom that PERSON starred in with Tony Danza ?,ENTY
What are the GPE nations ?,LOC
Where on the Internet can I get information about LAW on the American Bill of Rights ?,LOC
What GPE state borders Illinois to the north ?,LOC
Name a film in which PERSON acted .,ENTY
What is the temperature for baking PERSON ?,NUM
What is a fear of bees ?,ENTY
What PERSON novel features Professor Humbert in love with a DATE girl ?,ENTY
What is a green bog ?,DESC
Where did the myth of ORG originate ?,LOC
What does a chairbound basophobic fear ?,ENTY
What city is served by FAC ?,LOC
What wrestling star became WORK_OF_ART ?,HUM
What attracts tourists to ORG ?,LOC
What game do PERSON and Edward G. Robinson play in ORG ?,ENTY
What fastener did PERSON patent in DATE ?,ENTY
What 's an auberge in GPE ?,DESC
Who was the star of the DATE FAC hit Golden Boy ?,HUM
Where is ORG based in the GPE ?,LOC
What army was founded by PERSON and his wife Catherine ?,HUM
What does ribavirin consist of ?,ENTY
Name the soft drink that is `` number one in the sun . '',ENTY
What is the web address of the list of e-mail addresses of members of ORG ?,LOC
What was her real name ?,HUM
Why are the ears your center of balance ?,DESC
Who invented the toothbrush ?,HUM
What was the name of that popular song the ORG sang ?,ENTY
Where is the Abominable PERSON said to wander ?,LOC
What is a fear of being alone ?,ENTY
How many dots make up the symbol for `` because '' ?,NUM
What do you get by adding Lactobacillus bulgaricus to milk ?,ENTY
"When reading classified ads , what does EENTY : other stand for ?",ABBR
How many hearts does an octopus have ?,NUM
What plant has the largest seed ?,ENTY
What was the only country you were allowed to drive into GPE from in DATE ?,LOC
What 's approaching when a cyclist shouts : `` Oil '' ?,ENTY
"What baseball star turned down a $MONEY , 000-a-year contract because he felt he had n't earned it ?",HUM
What kind of sport is often associated with hooligans ?,ENTY
What video game hero do some of his fans call PERSON ?,HUM
How many holes are there in a tenpin bowling ball ?,NUM
What is the longest word in the LANGUAGE language ?,ENTY
In What city or state do the most gay men live in ?,LOC
"What TV comediennes 's characters include former movie star PERSON , secretary Mrs. Wiggins and a housewife named Eunice ?",HUM
What is `` the bear of beers '' ?,ENTY
Name the operating system that runs on ORG-compatible machines .,ENTY
What does the name `` PRODUCT '' mean ?,DESC
What percentage of the body is muscle ?,NUM
What color of dry wine should be served with veal roasts and chops ?,ENTY
What is a golf ball made of ?,ENTY
What is the NORP religion ?,DESC
What does an average daycare provider get paid in LOC ?,NUM
What was the name of the CARDINAL NORP terrorist group in GPE mining areas ?,HUM
Who played FAC in the DATE film Stagecoach ?,HUM
Who died QUANTITY from where PERSON did ?,HUM
What is the `` coppertop '' battery ?,DESC
What sign is WORK_OF_ART symbol for ?,ENTY
What animals do you find in the stock market ?,ENTY
What is color ?,DESC
When is the site www.questions.com going to open ?,NUM
What did PERSON write for Rostropovich ?,ENTY
What ORDINAL name was PERSON given at birth ?,HUM
How can I get some free technical information on ORG ?,DESC
Who is the youngest of the PERSON ?,HUM
How did shipyard inspector PERSON designate equipment as being satisfactory ?,DESC
What is a Jellicle Cat ?,DESC
Where can I find the best free evidence for debate about GPE ?,LOC
What is PERSON of ORG E-mail address ?,LOC
What is the ORDINAL hardest substance ?,ENTY
Why did several GPE schools stop serving apples to students ?,DESC
What NORP city boasts ORG ?,LOC
